Designator,Val,Package,Mid X,Mid Y,Rotation,Layer,,,,
F9,30mA,R_0603_1608Metric,45.9,83,180,T,,,,
F10,30mA,R_0603_1608Metric,61.75,83,180,T,,,,
FID1,Fiducial,Fiducial_1mm_Mask3mm,5,5.5,0,T,,,,
FID2,Fiducial,Fiducial_1mm_Mask3mm,75,5.5,0,T,,,,
FID3,Fiducial,Fiducial_1mm_Mask3mm,6.65,89.5,0,T,,,,
FID4,Fiducial,Fiducial_1mm_Mask3mm,75,89.5,0,T,,,,
J1,DF11-10DP-2DSA,JST_PHD_B10B-PHDSS_2x05_P2.00mm_Vertical,75.25,10.2,90,T,,,,
J2,Raspberry_Pi_2_3,PinHeader_2x20_P2.54mm_Vertical,25.227032,74.138961,0,T,,,,
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G,4.353195,29.143476,-90,T,,,,
J4,Conn_01x02,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,5.5,84.45,180,T,,,,
J7,RJ12,RJ12_Amphenol_54601,12.83,7.02,0,T,,,,
J8,RJ12,RJ12_Amphenol_54601,28.83,7.02,0,T,,,,
J9,RJ12,RJ12_Amphenol_54601,44.75,7.02,0,T,,,,
J10,RJ12,RJ12_Amphenol_54601,60.73,7.02,0,T,,,,
J11,RJ12,RJ12_Amphenol_54601,19.25,87.86,180,T,,,,
J12,RJ12,RJ12_Amphenol_54601,35.15,87.86,180,T,,,,
J13,RJ12,RJ12_Amphenol_54601,51.07,87.86,180,T,,,,
J14,RJ12,RJ12_Amphenol_54601,66.9,87.86,180,T,,,,
L1,1.2uH 6.5A,L_Chilisin_BMRA00050520,12.1,43.35,90,T,,,,
L2,6.8uH 3.6A,L_Ferrocore_DLG-0504,13.15,57,0,T,,,,
L3,6.8uH 3.6A,L_Ferrocore_DLG-0504,13,71.5,0,T,,,,
Q1,BSS84,SOT-23,42.35,28.65,0,T,,,,
Q2,BSS84,SOT-23,42.35,32.1,0,T,,,,
Q3,BSS84,SOT-23,31.65,39.4,-90,T,,,,
Q4,2N7002,SOT-23,31.65,35.5,90,T,,,,
Q5,BSS84,SOT-23,10.3,16.2,-90,T,,,,
Q6,BSS84,SOT-23,26.3,16.15,-90,T,,,,
Q7,2N7002,SOT-23,13.7,17.05,-90,T,,,,
Q8,2N7002,SOT-23,29.7,17.1,-90,T,,,,
Q9,BSS84,SOT-23,34.3375,18.9,0,T,,,,
Q10,BSS84,SOT-23,18.3,18.95,0,T,,,,
Q11,BSS84,SOT-23,50.2,18.9,0,T,,,,
Q12,BSS84,SOT-23,66.2,18.9,0,T,,,,
Q13,2N7002,SOT-23,77.45,43.6,-90,T,,,,
Q15,2N7002,SOT-23,22.15,18.95,0,T,,,,
Q16,2N7002,SOT-23,38.1875,18.9,0,T,,,,
Q17,BSS84,SOT-23,42.2,16.25,-90,T,,,,
Q18,BSS84,SOT-23,58.2,16.15,-90,T,,,,
Q19,2N7002,SOT-23,45.6,17.1,-90,T,,,,
Q20,2N7002,SOT-23,61.6,17.05,-90,T,,,,
Q27,2N7002,SOT-23,54.05,18.9,0,T,,,,
Q28,2N7002,SOT-23,70.1,18.9,0,T,,,,
Q29,2N7002,SOT-23,39.25,72.65,-90,T,,,,
Q30,2N7002,SOT-23,51.85,72.65,-90,T,,,,
Q31,2N7002,SOT-23,39.25,68.8,90,T,,,,
Q32,2N7002,SOT-23,51.85,68.7875,90,T,,,,
Q33,2N7002,SOT-23,63.6,72.65,-90,T,,,,
Q34,2N7002,SOT-23,76.2,72.6,-90,T,,,,
Q35,2N7002,SOT-23,63.6,68.8,90,T,,,,
Q36,2N7002,SOT-23,76.2,68.75,90,T,,,,
Q37,2N7002,SOT-23,21.5,28.1,-90,T,,,,
R1,10K,R_0402_1005Metric,37.75,50.25,0,T,,,,
R2,10K,R_0402_1005Metric,37.75,49.25,0,T,,,,
R3,10K,R_0402_1005Metric,37.75,51.25,0,T,,,,
R4,10K,R_0402_1005Metric,32.1,49.4,-90,T,,,,
R5,22,R_0402_1005Metric,31.25,54.35,90,T,,,,
R6,10K,R_0402_1005Metric,56.210062,27.405119,0,T,,,,
R7,10K,R_0402_1005Metric,39.1,32.85,180,T,,,,
R8,10K,R_0402_1005Metric,58.45,27.25,-90,T,,,,
R9,22,R_0402_1005Metric,30.3,54.35,90,T,,,,
R10,330,R_0402_1005Metric,54.8,27.9,90,T,,,,
R11,330,R_0402_1005Metric,36.3,31.85,0,T,,,,
R12,330,R_0402_1005Metric,59.45,29.35,-90,T,,,,
R13,10K,R_0402_1005Metric,39.85,29.1,-90,T,,,,
R14,10K,R_0402_1005Metric,68.9,51.3,90,T,,,,
R15,10K,R_0402_1005Metric,39.15,31.9,180,T,,,,
R16,10K,R_0402_1005Metric,43.3,34.35,180,T,,,,
R17,10K,R_0402_1005Metric,38.4,41.85,0,T,,,,
R18,10K,R_0402_1005Metric,30.45,49.1,90,T,,,,
R19,10K,R_0402_1005Metric,50.1,61.35,0,T,,,,
R20,10K,R_0402_1005Metric,52,61.35,180,T,,,,
R21,2K4,R_0402_1005Metric,74.35,40.55,0,T,,,,
R22,2K4,R_0402_1005Metric,74.35,41.85,0,T,,,,
R23,330,R_0402_1005Metric,53.85,27.9,-90,T,,,,
R24,330,R_0402_1005Metric,67.1,31.65,0,T,,,,
R25,330,R_0402_1005Metric,37.85,26,90,T,,,,
R26,2K4,R_0402_1005Metric,72.4,40.55,0,T,,,,
R27,2K4,R_0402_1005Metric,72.4,41.85,0,T,,,,
R28,22,R_0402_1005Metric,5.6,41.05,-90,T,,,,
R29,22,R_0402_1005Metric,9.51,30.7,0,T,,,,
R30,22,R_0402_1005Metric,9.5,27.7,0,T,,,,
R31,10K,R_0402_1005Metric,18.3,27.1,90,T,,,,
R32,22,R_0402_1005Metric,9.5,29.7,0,T,,,,
R33,10K,R_0402_1005Metric,7.3,35.35,90,T,,,,
R34,22,R_0402_1005Metric,9.5,28.7,0,T,,,,
R35,330,R_0402_1005Metric,19.3,27.1,-90,T,,,,
R36,22,R_0402_1005Metric,10.3,35.35,90,T,,,,
R37,22,R_0402_1005Metric,9.3,35.35,90,T,,,,
R38,22,R_0402_1005Metric,8.3,35.35,90,T,,,,
R39,10K,R_0402_1005Metric,20.5,31.9,-90,T,,,,
R40,10K,R_0402_1005Metric,21.45,31.9,-90,T,,,,
R41,10K,R_0402_1005Metric,21.9,36.45,180,T,,,,
R42,220K,R_0402_1005Metric,30.9,41.85,0,T,,,,
R43,10K,R_0402_1005Metric,34.35,36.65,180,T,,,,
R44,22,R_0402_1005Metric,21.45,34.65,90,T,,,,
R45,2K4,R_0402_1005Metric,19.55,34.65,-90,T,,,,
R46,22,R_0402_1005Metric,20.5,34.65,90,T,,,,
R47,2K4,R_0402_1005Metric,18.6,34.65,-90,T,,,,
R48,22,R_0402_1005Metric,21.9,37.45,180,T,,,,
R49,22,R_0402_1005Metric,21.9,38.45,180,T,,,,
R50,330,R_0402_1005Metric,32.8,41.85,0,T,,,,
R51,10K,R_0402_1005Metric,34.35,35.65,0,T,,,,
R52,22,R_0402_1005Metric,17.65,34.65,90,T,,,,
R53,10K,R_0402_1005Metric,21.45,39.9,90,T,,,,
R54,2K4,R_0402_1005Metric,31.2,32.05,180,T,,,,
R55,10K,R_0402_1005Metric,34.35,34.65,180,T,,,,
R56,2K4,R_0402_1005Metric,5.2,39.6,0,T,,,,
R57,10K,R_0402_1005Metric,22.4,39.9,-90,T,,,,
R58,100K,R_0402_1005Metric,31.2,33.05,180,T,,,,
